Epoch,Training Loss,Validation Loss,WER,CER
1,1.716955761148661,0.5687850704629913,0.6973952706757892,0.21491762807023634
2,0.4899387222304686,0.4337202037563761,0.6387888608810467,0.17629371873359395
3,0.4002059322778682,0.37658183401777545,0.6171828111871324,0.16161125308596444
4,0.36252153667370207,0.3708362103873537,0.6085703997119193,0.15895157476386135
5,0.33849358200111485,0.34952706849302045,0.585914055935662,0.14681164010604003
6,0.32115901576882744,0.33629549596145863,0.5751110310887049,0.14310197458336768
7,0.30685583672425853,0.3124748434274251,0.5545552754771336,0.1355090919346231
8,0.29495303898592046,0.30326503469743804,0.5427019565478334,0.13181244278220575
9,0.2844282482518678,0.3013987425174422,0.5544652502700756,0.13208578655756056
10,0.2766893683160328,0.2950418356038232,0.5277577721762093,0.12650610250825456
