Epoch,Training Loss,Validation Loss,WER,CER
1,0.5834324292980122,0.7582208477533781,0.8854400777501062,0.2540779957784006
2,0.5533251628562782,0.7633184148715093,0.8833748405515398,0.25194643413266893
3,0.5279366716819723,0.7990513278887822,0.8889631294417786,0.2552683483857573
4,0.5036356335373946,0.8095820371921246,0.894308449249833,0.2559811758192325
5,0.4793801748793772,0.8330292059825017,0.8917572738868978,0.2570192740233226
6,0.4573364909448772,0.8493643256334158,0.8921824697807204,0.2566940032527077
7,0.4343328741547975,0.9072829402410068,0.9036020166433821,0.26479116924461055
8,0.4121733199747115,0.9212021662638737,0.9016582639859078,0.26259040105193954
9,0.3907623790294601,0.9576330909362206,0.8970418514244063,0.2627841793833697
10,0.3716210902560766,1.0018399852972764,0.9086436250987062,0.26577390221114916
